0 0 2 2 2 2 2 2 5 5 
1 0 0 0 0 4 0 4 0 10 
2 0 4 4 0 4 0 4 0 10 
3 1 0 4 0 0 0 4 0 10 
4 1 0 4 4 4 0 4 0 10 
5 2 0 4 0 4 0 0 0 10 
6 2 0 4 0 4 4 4 0 10 
7 3 0 4 0 4 0 4 0 0 
8 3 0 4 0 4 0 4 10 10 
9 0 4.5 4.5 2 2 2 2 5 5 
10 0 5 5 0 4 0 4 0 10 
11 1 4 5 0 0 0 4 0 10 
12 1 4 5 4 4 0 4 0 10 
13 2 4 5 0 4 0 0 0 10 
14 2 4 5 0 4 4 4 0 10 
15 3 4 5 0 4 0 4 0 0 
16 3 4 5 0 4 0 4 10 10 
17 0 17.5 17.5 2 2 2 2 5 5 
18 0 30 30 0 4 0 4 0 10 
19 1 5 30 0 0 0 4 0 10 
20 1 5 30 4 4 0 4 0 10 
21 2 5 30 0 4 0 0 0 10 
22 2 5 30 0 4 4 4 0 10 
23 3 5 30 0 4 0 4 0 0 
24 3 5 30 0 4 0 4 10 10 
25 0 2 2 102 102 2 2 5 5 
26 0 0 0 4 200 0 4 0 10 
27 0 4 4 4 200 0 4 0 10 
28 1 0 4 200 200 0 4 0 10 
29 2 0 4 4 200 0 0 0 10 
30 2 0 4 4 200 4 4 0 10 
31 3 0 4 4 200 0 4 0 0 
32 3 0 4 4 200 0 4 10 10 
33 0 4.5 4.5 102 102 2 2 5 5 
34 0 5 5 4 200 0 4 0 10 
35 1 4 5 200 200 0 4 0 10 
36 2 4 5 4 200 0 0 0 10 
37 2 4 5 4 200 4 4 0 10 
38 3 4 5 4 200 0 4 0 0 
39 3 4 5 4 200 0 4 10 10 
40 0 17.5 17.5 102 102 2 2 5 5 
41 0 30 30 4 200 0 4 0 10 
42 1 5 30 200 200 0 4 0 10 
43 2 5 30 4 200 0 0 0 10 
44 2 5 30 4 200 4 4 0 10 
45 3 5 30 4 200 0 4 0 0 
46 3 5 30 4 200 0 4 10 10 
47 0 2 2 2 2 17 17 5 5 
48 0 0 0 0 4 4 30 0 10 
49 0 4 4 0 4 4 30 0 10 
50 1 0 4 0 0 4 30 0 10 
51 1 0 4 4 4 4 30 0 10 
52 2 0 4 0 4 30 30 0 10 
53 3 0 4 0 4 4 30 0 0 
54 3 0 4 0 4 4 30 10 10 
55 0 4.5 4.5 2 2 17 17 5 5 
56 0 5 5 0 4 4 30 0 10 
57 1 4 5 0 0 4 30 0 10 
58 1 4 5 4 4 4 30 0 10 
59 2 4 5 0 4 30 30 0 10 
60 3 4 5 0 4 4 30 0 0 
61 3 4 5 0 4 4 30 10 10 
62 0 17.5 17.5 2 2 17 17 5 5 
63 0 30 30 0 4 4 30 0 10 
64 1 5 30 0 0 4 30 0 10 
65 1 5 30 4 4 4 30 0 10 
66 2 5 30 0 4 30 30 0 10 
67 3 5 30 0 4 4 30 0 0 
68 3 5 30 0 4 4 30 10 10 
69 0 2 2 102 102 17 17 5 5 
70 0 0 0 4 200 4 30 0 10 
71 0 4 4 4 200 4 30 0 10 
72 1 0 4 200 200 4 30 0 10 
73 2 0 4 4 200 30 30 0 10 
74 3 0 4 4 200 4 30 0 0 
75 3 0 4 4 200 4 30 10 10 
76 0 4.5 4.5 102 102 17 17 5 5 
77 0 5 5 4 200 4 30 0 10 
78 1 4 5 200 200 4 30 0 10 
79 2 4 5 4 200 30 30 0 10 
80 3 4 5 4 200 4 30 0 0 
81 3 4 5 4 200 4 30 10 10 
82 0 17.5 17.5 102 102 17 17 5 5 
83 0 30 30 4 200 4 30 0 10 
84 1 5 30 200 200 4 30 0 10 
85 2 5 30 4 200 30 30 0 10 
86 3 5 30 4 200 4 30 0 0 
